Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV,Moneyness,LogMoneyness,MidPrice,BidAskSpread,DaysToExpiry,TimeToExpiry
NVDA,2025-08-14,2025-08-15,35.0,C,145.95,147.95,146.6,10.0,35,181.92,7.687500390625001,5.1977142857142855,1.6482189685128121,146.95,2.0,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,40.0,C,140.5,143.5,142.88,6.0,92,181.92,7.937500078125,4.548,1.5146875758882896,142.0,3.0,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,45.0,C,136.1,137.4,136.64,33.0,86,181.92,9.328129169921876,4.042666666666666,1.396904540231906,136.75,1.3000000000000114,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,50.0,C,131.4,132.3,131.85,22.0,554,181.92,8.34375478515625,3.6384,1.29154402457408,131.85000000000002,0.9000000000000057,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,55.0,C,126.15,127.4,127.05,17.0,422,181.92,8.039067475585936,3.3076363636363633,1.196233844769755,126.775,1.25,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,60.0,C,121.4,122.35,122.12,10.0,537,181.92,7.359375800781249,3.0319999999999996,1.109222467780125,121.875,0.9499999999999886,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,65.0,C,114.85,118.4,117.23,3.0,448,181.92,8.582035886230468,2.7987692307692305,1.0291797601065886,116.625,3.5500000000000114,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,70.0,C,111.1,112.65,111.5,21.0,3889,181.92,6.992188759765625,2.5988571428571428,0.9550717879528668,111.875,1.5500000000000114,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,75.0,C,105.35,108.85,106.35,3.0,1207,181.92,5.257815927734374,2.4255999999999998,0.8860789164659154,107.1,3.5,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,80.0,C,101.0,102.8,102.03,23.0,2160,181.92,6.312502109375,2.274,0.8215403953283443,101.9,1.7999999999999972,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,85.0,C,96.45,98.35,97.07,21.0,1307,181.92,5.292972133789062,2.140235294117647,0.7609157735119093,97.4,1.8999999999999915,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,90.0,C,90.7,93.2,92.0,36.0,1549,181.92,3.406251484375,2.021333333333333,0.7037573596719607,91.95,2.5,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,95.0,C,86.0,87.8,86.78,24.0,3927,181.92,5.126956716308594,1.9149473684210525,0.649690138401685,86.9,1.7999999999999972,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,100.0,C,81.7,82.25,82.0,210.0,9004,181.92,3.1406271484375,1.8192,0.5983968440141345,81.975,0.5499999999999972,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,105.0,C,76.65,77.35,76.6,250.0,4594,181.92,3.0468773828125,1.7325714285714284,0.5496066798447025,77.0,0.6999999999999886,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,110.0,C,71.7,72.3,71.99,495.0,21942,181.92,2.81250296875,1.6538181818181816,0.5030866642098095,72.0,0.5999999999999943,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,115.0,C,66.5,67.2,66.35,85.0,28094,181.92,3.0898460253906244,1.5819130434782607,0.45863490163897574,66.85,0.7000000000000028,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,120.0,C,61.55,62.15,62.0,424.0,42269,181.92,2.750003125,1.5159999999999998,0.4160752872201798,61.849999999999994,0.6000000000000014,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,125.0,C,56.65,57.2,57.03,405.0,19252,181.92,0.500005,1.45536,0.3752532926999248,56.925,0.5500000000000043,1,0.0027378507871321013
NVDA,2025-08-14,2025-08-15,130.0,C,51.85,52.0,51.9,579.0,18913,181.92,0.500005,1.3993846153846152,0.3360325795466434,51.925,0.14999999999999858,1,0.0027378507871321013
